[2025-12-01 00:43:33] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:36] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:37] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:39] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:40] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:40] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:42] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:43] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:46] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:51] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:51] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:53] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:55] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:43:55] [DEBUG] unknown:0 | CartController::add() called | Context: {"POST_data":{"id":"12","qty":"1"},"SERVER_data":{"HTTP_X_REQUESTED_WITH":"XMLHttpRequest","REQUEST_METHOD":"POST","CONTENT_TYPE":"multipart/form-data; boundary=----WebKitFormBoundaryiMJocZThCJ9zVYhQ"}}
[2025-12-01 00:43:55] [DEBUG] unknown:0 | Processing add to cart | Context: {"book_id":"12","quantity":1}
[2025-12-01 00:43:55] [DEBUG] unknown:0 | Database connection successful
[2025-12-01 00:43:55] [DEBUG] unknown:0 | Database query result | Context: {"book_id":"12","book_found":true,"book_data":{"id":12,"ten_sach":"a","tac_gia":"a","gia_goc":"10000.00","gia_khuyen_mai":null,"phan_tram_giam":0,"so_luong":0,"mo_ta":"","anh_bia":"book_691e61e25707d7.09131624.jpg","id_danh_muc":null,"ngay_tao":"2025-11-20 07:33:38","ngay_cap_nhat":"2025-11-20 07:33:38"}}
[2025-12-01 00:43:55] [DEBUG] unknown:0 | Book added to cart | Context: {"book_id":"12","book_title":"a","book_author":"a","quantity":1,"cart_total":1}
[2025-12-01 00:43:55] [DEBUG] unknown:0 | Sending JSON response | Context: {"response":{"success":true,"message":"Đã thêm sản phẩm vào giỏ hàng thành công!","cartCount":1,"subtotal":10000,"finalTotal":10000,"discount":0,"lineTotal":10000},"cart_count":1}
[2025-12-01 00:43:56] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:45:36] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:45:37] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:45:37] [DEBUG] unknown:0 | CartController::add() called | Context: {"POST_data":{"id":"12","qty":"1"},"SERVER_data":{"HTTP_X_REQUESTED_WITH":"XMLHttpRequest","REQUEST_METHOD":"POST","CONTENT_TYPE":"multipart/form-data; boundary=----WebKitFormBoundary2z6Ik2iRMckfzXNn"}}
[2025-12-01 00:45:37] [DEBUG] unknown:0 | Processing add to cart | Context: {"book_id":"12","quantity":1}
[2025-12-01 00:45:37] [DEBUG] unknown:0 | Database connection successful
[2025-12-01 00:45:37] [DEBUG] unknown:0 | Database query result | Context: {"book_id":"12","book_found":true,"book_data":{"id":12,"ten_sach":"a","tac_gia":"a","gia_goc":"10000.00","gia_khuyen_mai":null,"phan_tram_giam":0,"so_luong":0,"mo_ta":"","anh_bia":"book_691e61e25707d7.09131624.jpg","id_danh_muc":null,"ngay_tao":"2025-11-20 07:33:38","ngay_cap_nhat":"2025-11-20 07:33:38"}}
[2025-12-01 00:45:37] [DEBUG] unknown:0 | Book added to cart | Context: {"book_id":"12","book_title":"a","book_author":"a","quantity":1,"cart_total":1}
[2025-12-01 00:45:37] [DEBUG] unknown:0 | Sending JSON response | Context: {"response":{"success":true,"message":"Đã thêm sản phẩm vào giỏ hàng thành công!","cartCount":2,"subtotal":20000,"finalTotal":20000,"discount":0,"lineTotal":20000},"cart_count":2}
[2025-12-01 00:45:38] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:46:45] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:47:47] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:48:36] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:48:38] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:48:53] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:00] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:03] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:03] [DEBUG] unknown:0 | CartController::add() called | Context: {"POST_data":{"id":"10","qty":"1"},"SERVER_data":{"HTTP_X_REQUESTED_WITH":"XMLHttpRequest","REQUEST_METHOD":"POST","CONTENT_TYPE":"multipart/form-data; boundary=----WebKitFormBoundaryUCkT9KS9w4nabj0P"}}
[2025-12-01 00:49:03] [DEBUG] unknown:0 | Processing add to cart | Context: {"book_id":"10","quantity":1}
[2025-12-01 00:49:03] [DEBUG] unknown:0 | Database connection successful
[2025-12-01 00:49:03] [DEBUG] unknown:0 | Database query result | Context: {"book_id":"10","book_found":true,"book_data":{"id":10,"ten_sach":"Lược Sử Loài Người","tac_gia":"Yuval Noah Harari","gia_goc":"220000.00","gia_khuyen_mai":"176000.00","phan_tram_giam":20,"so_luong":35,"mo_ta":"Một cái nhìn toàn cảnh về lịch sử phát triển của loài người từ thời nguyên thủy đến hiện đại.","anh_bia":"luocsuloainguoi.jpg","id_danh_muc":5,"ngay_tao":"2025-11-19 23:28:53","ngay_cap_nhat":"2025-11-19 23:28:53"}}
[2025-12-01 00:49:03] [DEBUG] unknown:0 | Book added to cart | Context: {"book_id":"10","book_title":"Lược Sử Loài Người","book_author":"Yuval Noah Harari","quantity":1,"cart_total":2}
[2025-12-01 00:49:03] [DEBUG] unknown:0 | Sending JSON response | Context: {"response":{"success":true,"message":"Đã thêm sản phẩm vào giỏ hàng thành công!","cartCount":3,"subtotal":196000,"finalTotal":196000,"discount":0,"lineTotal":176000},"cart_count":3}
[2025-12-01 00:49:04] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:05] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:15] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:20] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:22] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:49:24] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:50:13] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:50:44] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:50:58] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"vgeui61a3h3avnp9f33p75geh9"}
[2025-12-01 00:51:12] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:23] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:26] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | CartController::add() called | Context: {"POST_data":{"id":"12","qty":"1"},"SERVER_data":{"HTTP_X_REQUESTED_WITH":"XMLHttpRequest","REQUEST_METHOD":"POST","CONTENT_TYPE":"multipart/form-data; boundary=----WebKitFormBoundaryrqc3J8AfRyqjakVe"}}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Processing add to cart | Context: {"book_id":"12","quantity":1}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Database connection successful
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Database query result | Context: {"book_id":"12","book_found":true,"book_data":{"id":12,"ten_sach":"a","tac_gia":"a","gia_goc":"10000.00","gia_khuyen_mai":null,"phan_tram_giam":0,"so_luong":0,"mo_ta":"","anh_bia":"book_691e61e25707d7.09131624.jpg","id_danh_muc":null,"ngay_tao":"2025-11-20 07:33:38","ngay_cap_nhat":"2025-11-20 07:33:38"}}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Book added to cart | Context: {"book_id":"12","book_title":"a","book_author":"a","quantity":1,"cart_total":1}
[2025-12-01 00:51:26] [DEBUG] unknown:0 | Sending JSON response | Context: {"response":{"success":true,"message":"Đã thêm sản phẩm vào giỏ hàng thành công!","cartCount":1,"subtotal":10000,"finalTotal":10000,"discount":0,"lineTotal":10000},"cart_count":1}
[2025-12-01 00:51:26] [DEBUG] Router.php:104 | CartController initialized | Context: {"session_status":2,"session_id":"lpup50phpljc5rssr9ank9707s"}
